NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD
NDHWS17-0057-C26,1119,2,11,30,NDSW1370/NDSW0914,208,174,30,1,104.03
NDHWS17-0187-H64,1120,2,11,31,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,208,175,34,2,112.91
NDHWS17-0255-C39,1121,2,11,32,NDSW10117'S'/NDSW0612,212,179,29,1,110.76
NDHWS17-0323-A06,1132,2,12,22,NDSW15128/NDSW1370//NDSW14098,215,177,29,1,96.82
NDHWS17-0323-C19,1131,2,12,23,NDSW15128/NDSW1370//NDSW14098,211,174,29,1,112.77
NDHWS17-0323-A06,1130,2,12,24,NDSW15128/NDSW1370//NDSW14098,214,176,30,1,107.37
NDHWS17-0256-A16,1129,2,12,25,NDSW14098/NDSW0612,212,178,32,1,109.5
NDHWS17-0187-H56,1128,2,12,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,212,180,33,2,100.56
NDHWS17-0040-A30,1127,2,12,27,NDSW1370/NDSW0932,208,174,32,2,105.68
NDHWS17-0362-A17,1126,2,12,28,NDSW1379/B104'S'//NDSW14098,210,175,29,2,113.91
NDHWS17-0126-H51,1125,2,12,29,NDSW0932//NDSW0450/NDSW10067'S',211,175,28,2,104.04
NDHWS17-0256-C37,1124,2,12,30,NDSW14098/NDSW0612,211,177,30,1,113.43
NDHWS17-0187-H58,1123,2,12,31,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,212,176,30,1,106.21
NDHWS17-0323-H29,1122,2,12,32,NDSW15128/NDSW1370//NDSW14098,214,177,29,0,108.28
NDHWS17-0256-A10,1133,2,13,22,NDSW14098/NDSW0612,210,175,29,2,88.77
NDHWS17-0255-C39,1134,2,13,23,NDSW10117'S'/NDSW0612,208,176,29,2,91.95
NDHWS17-0128-C26,1135,2,13,24,NDSW10067'S'//NDSW1304'A'/NDSW0932,207,174,28,2,94.85
NDHWS17-0252-A16,1136,2,13,25,NDSW14098/ALPINE,210,176,29,2,97.77
NDHWS17-0045-C37,1137,2,13,26,NDSW0932/NDSW10067'S',207,176,28,2,90.95
NDHWS17-0057-C15,1138,2,13,27,NDSW1370/NDSW0914,211,179,35,1,101.08
NDHWS17-0066-C37,1139,2,13,28,NDSW1379/NDSW1370,207,174,28,2,109.32
NDHWS17-0045-C38,1140,2,13,29,NDSW0932/NDSW10067'S',211,175,33,3,109
FALLER,1141,2,13,30,ND2857/3/KITT/AMIDON//GR/STOASIB,208,174,32,2,112.85
NDHWS17-0260-A12,1142,2,13,31,NDSW1379/NDSW0914,210,174,30,2,108.06
FALLER,1143,2,13,32,ND2857/3/KITT/AMIDON//GR/STOASIB,211,174,34,2,111.32
NDHWS17-0066-C28,1154,2,14,22,NDSW1379/NDSW1370,210,178,29,1,104.26
NDHWS17-0323-C10,1153,2,14,23,NDSW15128/NDSW1370//NDSW14098,211,177,28,2,98.57
NDHWS17-0066-H64,1152,2,14,24,NDSW1379/NDSW1370,210,181,30,1,114.7
NDHWS17-0066-C36,1151,2,14,25,NDSW1379/NDSW1370,209,177,28,2,111.69
NDHWS17-0256-H60,1150,2,14,26,NDSW14098/NDSW0612,210,180,30,1,99.97
NDHWS17-0279-H68,1149,2,14,27,B104'S'/NDSW0612//NDSW1379,210,179,29,2,94.62
NDHWS17-0187-H46,1148,2,14,28,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,205,174,30,1,90.95
ALPINE,1147,2,14,29,SUNEL/4/RUSS/3/RUSS//CHINASCAB#22/N92-0248,208,173,28,1,105.86
NDVITPRO,1146,2,14,30,ND2849/ND721//ND735,207,172,27,2,106.56
NDHWS17-0256-A20,1145,2,14,31,NDSW14098/NDSW0612,207,176,29,1,107.02
NDHWS17-0187-C42,1144,2,14,32,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,214,179,31,1,110.13
NDHWS17-0187-C34,1155,2,15,22,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,178,29,1,94.1
NDHWS17-0066-A04,1156,2,15,23,NDSW1379/NDSW1370,211,179,27,1,94.56
NDHWS17-0323-C10,1157,2,15,24,NDSW15128/NDSW1370//NDSW14098,211,179,28,2,100.59
NDHWS17-0187-C40,1158,2,15,25,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,178,28,1,103.35
NDHWS17-0083-C32,1159,2,15,26,NDSW14098/NDSW0601,208,176,29,2,94.78
NDSW0932,1160,2,15,27,NDSW0345/ND2831,207,174,30,2,99.9
NDHWS17-0066-A11,1161,2,15,28,NDSW1379/NDSW1370,208,174,30,2,101.49
NDHWS17-0066-H60,1162,2,15,29,NDSW1379/NDSW1370,,180,30,1,112.46
NDHWS17-0255-C28,1163,2,15,30,NDSW10117'S'/NDSW0612,206,175,28,2,108.53
NDHWS17-0066-C39,1164,2,15,31,NDSW1379/NDSW1370,212,181,30,2,105.89
NDHWS17-0066-H64,1165,2,15,32,NDSW1379/NDSW1370,212,179,30,2,119.94
NDHWS17-0365-H50,1176,2,16,22,NDSW1379/B105'S'//NDSW14098,205,174,26,2,88.01
NDHWS17-0066-C42,1175,2,16,23,NDSW1379/NDSW1370,207,175,29,1,89.17
NDHWS17-0187-C21,1174,2,16,24,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,209,178,29,1,102.17
ELGIN-ND,1173,2,16,25,WALWORTH/REEDER//ND721,207,172,31,2,89.49
NDHWS17-0279-H68,1172,2,16,26,B104'S'/NDSW0612//NDSW1379,210,178,32,1,87.33
NDHWS17-0066-A11,1171,2,16,27,NDSW1379/NDSW1370,207,174,27,2,93.34
NDHWS17-0057-C26,1170,2,16,28,NDSW1370/NDSW0914,208,173,29,1,99.17
ELGIN-ND,1169,2,16,29,WALWORTH/REEDER//ND721,207,172,32,1,96.36
NDHWS17-0187-H65,1168,2,16,30,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,209,176,31,2,109.89
NDHWS17-0256-C36,1167,2,16,31,NDSW14098/NDSW0612,209,176,30,2,111.78
NDHWS17-0013-A17,1166,2,16,32,NDSW1379/NDSW0601,210,176,30,1,121.11
BARLOW,1177,2,17,22,ND2831//PARSHALL/ND706/3/ND721,208,172,28,2,89.73
NDHWS17-0066-H57,1178,2,17,23,NDSW1379/NDSW1370,204,174,23,1,93.43
NDHWS17-0255-C55,1179,2,17,24,NDSW10117'S'/NDSW0612,210,177,25,1,93.24
NDHWS17-0279-C54,1180,2,17,25,B104'S'/NDSW0612//NDSW1379,209,177,27,1,87.04
NDHWS17-0279-C49,1181,2,17,26,B104'S'/NDSW0612//NDSW1379,211,176,28,1,93.34
NDHWS17-0057-H45,1182,2,17,27,NDSW1370/NDSW0914,209,174,30,2,99.52
NDHWS17-0040-A21,1183,2,17,28,NDSW1370/NDSW0932,210,177,29,2,96.75
NDHWS17-0187-H46,1184,2,17,29,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,208,174,29,1,91.74
