Date,PlotName,NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD,ID,Blue,Green,Red,RedEdge,NIR,NGRDI,BGI,GLI,NDVI,NDRE,CIG,CIRE,Canopy,objNumCell,naNumCell,Height_0,Height_25,Height_50,Height_75,Height_100,Height_10,Height_90,DAP
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1197,NDHWS17-0066-C28,1197,2,18,23,NDSW1379/NDSW1370,209,177,30,2,102.9,24,0.032202004,0.037999617,0.026940191,0.058857715,0.201751228,0.198333222,0.780662012,0.177697544,0.695953669,0.48474034,4.921711267,2.572237719,0.637212644,5322,8352,-0.151507279,0.096216077,0.180887741,0.218509722,0.252942679,0.013131583,0.232169246,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1196,NDHWS17-0256-C48,1196,2,18,24,NDSW14098/NDSW0612,210,174,29,1,100.77,25,0.032148344,0.035134754,0.025641987,0.054214649,0.179905486,0.195503809,0.818887498,0.161133641,0.694130654,0.486758875,5.118188511,2.621724509,0.624281609,5214,8352,-0.1595348,0.045081306,0.145901649,0.206301944,0.241961689,-0.020719129,0.224536369,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1195,NDHWS17-0187-C35,1195,2,18,25,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,210,176,29,1,103.12,26,0.032495483,0.03559135,0.025753271,0.055085551,0.179496319,0.204085841,0.814194512,0.168215063,0.69193113,0.479520531,5.084221609,2.563330775,0.612428161,5115,8352,-0.185844777,-0.045994312,0.038525067,0.111995572,0.18824318,-0.09278226,0.15285485,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1194,NDHWS17-0187-H56,1194,2,18,26,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,180,31,1,101.28,27,0.031975339,0.037422581,0.026162795,0.059072349,0.206067993,0.21156569,0.782577126,0.182965611,0.703981213,0.49009921,5.23386056,2.63740869,0.631465517,5274,8352,-0.179668677,0.029325831,0.134312208,0.177640123,0.21766069,-0.042200716,0.198912031,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1193,NDHWS17-0187-C22,1193,2,18,27,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,210,178,31,2,103.81,28,0.031733648,0.037314806,0.025990991,0.058717599,0.202694335,0.212758835,0.781564645,0.184457359,0.7036986,0.48681998,5.103295203,2.585335147,0.638769157,5335,8352,-0.199362365,0.007607177,0.12646641,0.189539252,0.226077883,-0.067613651,0.207308569,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1192,NDHWS17-0256-C37,1192,2,18,28,NDSW14098/NDSW0612,210,177,31,1,109.78,29,0.030065106,0.035004844,0.024518188,0.05510157,0.194996935,0.20982221,0.786132086,0.180345848,0.70921917,0.497892639,5.299877963,2.696287332,0.647150383,5405,8352,-0.181728676,0.031885497,0.101845277,0.18181164,0.238610954,-0.052132694,0.216571383,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1191,NDHWS17-0279-C54,1191,2,18,29,B104'S'/NDSW0612//NDSW1379,209,178,29,2,115.87,30,0.03359518,0.038890793,0.027457078,0.059884097,0.20024348,0.203008537,0.791861812,0.174333571,0.699458689,0.485892374,4.82693351,2.539729518,0.640684866,5351,8352,-0.174974482,0.059618993,0.128120041,0.196135809,0.232559177,-0.022636728,0.217874895,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1190,NDHWS17-0040-A21,1190,2,18,30,NDSW1370/NDSW0932,212,177,30,1,108.95,31,0.032381975,0.037758625,0.026437548,0.059874547,0.207599305,0.213390799,0.781677056,0.184316947,0.706344665,0.48940094,5.275940999,2.616211928,0.630627395,5267,8352,-0.166806637,0.035920997,0.114454923,0.146248486,0.207402528,-0.052371957,0.176980604,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1189,NDSW0932,1189,2,18,31,NDSW0345/ND2831,207,174,28,2,102.67,32,0.033450405,0.03693986,0.025789415,0.058540574,0.18220241,0.220808203,0.819798735,0.171690302,0.704164653,0.472931867,4.750147517,2.327169931,0.628232759,5247,8352,-0.200625896,-0.006455522,0.058959575,0.135878045,0.232348132,-0.047767831,0.193978249,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1188,NDHWS17-0001-A22,1188,2,18,32,CHECK_02/NDSW1370,208,174,29,1,123.92,33,0.031068995,0.035604232,0.024891901,0.056143553,0.192513096,0.208193818,0.802799369,0.1722744,0.710660582,0.49167019,5.047921756,2.568056425,0.641762452,5360,8352,-0.164160958,0.12085703,0.211264709,0.242467567,0.308098345,0.018412657,0.26817447,52
EX_10_DAP_52_2021_Casselton_YT_06-28_5band.tif,1177,BARLOW,1177,2,17,22,ND2831//PARSHALL/ND706/3/ND721,208,172,28,2,89.73,34,0.031982828,0.035392324,0.025336077,0.055405952,0.171944117,0.204009944,0.823656592,0.164566658,0.681685524,0.459467679,4.594895899,2.273124474,0.609554598,5091,8352,-0.156758883,0.038398316,0.119241012,0.167640453,0.229336349,-0.020484502,0.18454972,52
