PlotName,NAME,PLOT,BLOCK,RANGE,ROW,PEDIGREE,MAT_DAY,DH,HT,LODG,YLD,ID,Blue,Green,Red,RedEdge,NIR,NGRDI,BGI,GLI,NDVI,NDRE,CIG,CIRE,Canopy,TRAIT,AUC
1124,NDHWS17-0256-C37,1124,2,12,30,NDSW14098/NDSW0612,211,177,30,1,113.43,97,0.04209041,0.04538547,0.03241292,0.07189201,0.2596426,0.2167669,0.8001527,0.1817421,0.7051355,0.5026365,6.202672,3.002887,0.6219038,NDRE,24.02603501
1123,NDHWS17-0187-H58,1123,2,12,31,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,212,176,30,1,106.21,98,0.04340666,0.04753563,0.03347988,0.07601824,0.2780055,0.2286406,0.7833314,0.1946884,0.7149763,0.5077404,6.498791,3.101198,0.6231777,NDRE,24.63315582
1122,NDHWS17-0323-H29,1122,2,12,32,NDSW15128/NDSW1370//NDSW14098,214,177,29,0,108.28,99,0.037912,0.04376399,0.02982453,0.07187188,0.2786365,0.2373718,0.7501833,0.212317,0.7196793,0.5113835,6.576094,3.090928,0.6439338,NDRE,25.12026263
1111,NDHWS17-0187-H47,1111,2,11,22,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,214,182,32,1,114.42,100,0.0384303,0.0430805,0.02949487,0.07004193,0.2585513,0.2307109,0.7928721,0.1898352,0.7245341,0.5085897,6.123414,2.933361,0.6282431,NDRE,24.87308882
1112,NDHWS17-0066-C43,1112,2,11,23,NDSW1379/NDSW1370,208,174,29,1,115.86,101,0.04298774,0.04524623,0.03291485,0.06965142,0.226007,0.1950972,0.8472329,0.1507203,0.6933557,0.4832232,5.047635,2.600194,0.6069694,NDRE,23.2126887
1113,NDHWS17-0128-C26,1113,2,11,24,NDSW10067'S'//NDSW1304'A'/NDSW0932,211,174,30,1,100.62,102,0.04347387,0.04500189,0.03269215,0.06940644,0.2163854,0.2017137,0.8593988,0.1496285,0.6874633,0.472618,4.86349,2.447595,0.5966148,NDRE,22.25911846
1114,NDHWS17-0256-A27,1114,2,11,25,NDSW14098/NDSW0612,211,176,31,1,108.17,103,0.0437578,0.04680232,0.03339496,0.07340757,0.2498373,0.2164386,0.8179164,0.1743477,0.7011829,0.4897278,5.626811,2.76586,0.6045219,NDRE,23.49393603
1115,NDHWS17-0362-H49,1115,2,11,26,NDSW1379/B104'S'//NDSW14098,211,176,28,1,109.09,104,0.04243259,0.04458753,0.03226974,0.0690057,0.2259224,0.2038066,0.8393752,0.1590432,0.6957754,0.4863143,5.183276,2.615362,0.6059981,NDRE,22.92759868
1116,NDHWS17-0256-A10,1116,2,11,27,NDSW14098/NDSW0612,212,176,30,2,102.23,105,0.04151887,0.04469426,0.03165021,0.06989241,0.2315576,0.2113378,0.8219751,0.1683211,0.7047328,0.4893634,5.208539,2.624293,0.6244131,NDRE,23.44232213
1117,NDHWS17-0057-C15,1117,2,11,28,NDSW1370/NDSW0914,212,180,35,1,112,106,0.03943231,0.04474987,0.03197887,0.07022071,0.2662353,0.190504,0.8013022,0.1645909,0.7116886,0.5133579,5.756352,3.001471,0.6376328,NDRE,25.27511062
1118,NDHWS17-0187-H65,1118,2,11,29,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,178,31,2,107.84,107,0.04178245,0.046004,0.03225034,0.07262672,0.2643037,0.2190387,0.797047,0.18122,0.7176144,0.510082,5.987095,2.995374,0.6288609,NDRE,24.42396778
1119,NDHWS17-0057-C26,1119,2,11,30,NDSW1370/NDSW0914,208,174,30,1,104.03,108,0.04280583,0.04502585,0.03302716,0.06913499,0.2361755,0.186846,0.8493991,0.1452814,0.6972104,0.4954763,5.308916,2.762022,0.6182613,NDRE,23.66958551
1120,NDHWS17-0187-H64,1120,2,11,31,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,208,175,34,2,112.91,109,0.04303723,0.04512575,0.03285031,0.069502,0.2427534,0.1991779,0.8312463,0.1591257,0.7032724,0.5046019,5.76484,2.98603,0.616259,NDRE,24.51925782
1121,NDHWS17-0255-C39,1121,2,11,32,NDSW10117'S'/NDSW0612,212,179,29,1,110.76,110,0.03879499,0.04259279,0.02970562,0.06744866,0.2465573,0.2184219,0.8081553,0.1780338,0.7125371,0.5059714,5.821076,2.92569,0.6212009,NDRE,24.78826182
1110,NDHWS17-0066-C46,1110,1,10,22,NDSW1379/NDSW1370,211,176,32,2,130.91,111,0.0381421,0.04296894,0.02982173,0.06834378,0.263725,0.2233514,0.7798462,0.1892959,0.7351619,0.5313379,6.385097,3.205643,0.6410922,NDRE,26.19918263
1109,NDSW14098,1109,1,10,23,FREYR/NDSW0612,210,175,29,2,112.69,112,0.03988787,0.04310908,0.03013118,0.06779825,0.2350023,0.2242012,0.811626,0.1778891,0.7213514,0.5086398,5.69123,2.84867,0.6299174,NDRE,24.31691033
1108,NDHWS17-0365-A22,1108,1,10,24,NDSW1379/B105'S'//NDSW14098,207,176,32,2,118.3,113,0.0405501,0.04335872,0.03070162,0.06841881,0.2458488,0.2254,0.8027461,0.1818324,0.7256254,0.5194097,6.237391,3.087135,0.6288609,NDRE,25.04102804
1107,BARLOW,1107,1,10,25,ND2831//PARSHALL/ND706/3/ND721,206,172,32,1,115.98,114,0.04139918,0.0448738,0.03132599,0.0710269,0.2535973,0.2308725,0.7936701,0.1892573,0.7237677,0.513843,6.100888,2.995441,0.6300964,NDRE,24.88555525
1106,NDHWS17-0255-C28,1106,1,10,26,NDSW10117'S'/NDSW0612,208,176,30,2,119.14,115,0.03996373,0.04297567,0.0305683,0.06682078,0.2459403,0.216774,0.8014426,0.178425,0.7257959,0.5258077,6.196927,3.170141,0.6311316,NDRE,25.37126819
1105,NDHWS17-0066-A23,1105,1,10,27,NDSW1379/NDSW1370,212,181,34,1,115.26,116,0.04169847,0.04893329,0.03397933,0.07656055,0.2895963,0.2123199,0.7684721,0.1884169,0.7260843,0.5215853,5.768269,3.014261,0.6438102,NDRE,25.73502144
1104,NDHWS17-0066-H47,1104,1,10,28,NDSW1379/NDSW1370,211,178,33,3,121.26,117,0.03757189,0.04269064,0.02971911,0.06775461,0.2729012,0.2224346,0.7621439,0.1950616,0.742826,0.5450552,6.775225,3.426119,0.6570299,NDRE,26.70749962
1103,NDHWS17-0187-H66,1103,1,10,29,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,210,176,32,2,112,118,0.03943866,0.04361506,0.03053327,0.06898091,0.2637189,0.2289398,0.778246,0.1922685,0.73948,0.536304,6.636285,3.309662,0.6441809,NDRE,25.60352958
1102,NDHWS17-0187-C34,1102,1,10,30,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,211,178,34,1,112.91,119,0.0392984,0.04426969,0.03056439,0.07092606,0.275945,0.2370345,0.7666539,0.2019774,0.7387194,0.5338799,6.697845,3.269337,0.6430306,NDRE,25.66607018
1101,NDHWS17-0013-A21,1101,1,10,31,NDSW1379/NDSW0601,207,176,30,2,114.93,120,0.0428429,0.04623173,0.03287252,0.07219151,0.2601018,0.2176254,0.7936767,0.1833239,0.7189831,0.5171454,6.138288,3.110852,0.6205831,NDRE,24.82492242
1100,NDHWS17-0256-A27,1100,1,10,32,NDSW14098/NDSW0612,212,177,30,1,111.09,121,0.03695518,0.04019149,0.0280455,0.06397711,0.2393335,0.2289029,0.7833674,0.192721,0.7281777,0.52394,6.466591,3.173329,0.627996,NDRE,25.21664112
1089,NDHWS17-0279-H61,1089,1,9,22,B104'S'/NDSW0612//NDSW1379,213,179,29,1,106.89,122,0.0437988,0.04731651,0.03393494,0.07405127,0.2626158,0.1994248,0.8228288,0.1611259,0.7214687,0.5149287,5.642534,2.90552,0.6331851,NDRE,24.8080127
1090,CHECK_02,1090,1,9,23,SUNEL/4/RUSS/3/RUSS//CHINASCAB#22/N92-0248,212,174,28,2,115.87,123,0.04516705,0.04811801,0.03388387,0.07532923,0.2456274,0.2133711,0.8321661,0.1645826,0.7160121,0.4966278,5.117973,2.601948,0.6272462,NDRE,23.87377728
1091,NDHWS17-0040-C56,1091,1,9,24,NDSW1370/NDSW0932,212,176,31,2,106.47,124,0.04263301,0.04761871,0.03227292,0.07665293,0.2674811,0.2477887,0.773911,0.2031726,0.7405534,0.5154957,5.859397,2.831588,0.6633309,NDRE,24.23131816
1092,NDHWS17-0187-C35,1092,1,9,25,NDSW1379/4/NDSW1370/3/NDSW0913//NDSW0913/CA909-946W,212,176,30,1,108.82,125,0.04457519,0.04616937,0.03309564,0.07266034,0.2568671,0.2258911,0.8125282,0.1810709,0.7234867,0.5169569,6.460663,3.143919,0.6155177,NDRE,24.64661647
1093,NDHWS17-0045-C37,1093,1,9,26,NDSW0932/NDSW10067'S',208,176,31,1,90.6,126,0.0447851,0.04747694,0.03317709,0.0747936,0.2442945,0.2259395,0.8259953,0.1740445,0.7153083,0.4955418,5.327836,2.631496,0.6185041,NDRE,23.00563457
1094,NDSW14098,1094,1,9,27,FREYR/NDSW0612,207,175,28,2,99.44,127,0.04498216,0.04668404,0.03304244,0.07316684,0.238597,0.2177178,0.8426232,0.1629807,0.7162148,0.4980669,5.38889,2.685149,0.6209538,NDRE,23.36681946
